Number of pairs,3747.000000
Number of unique pairs,726
Average pair frequency,5.161157
Pair entropy,6.297801

Pair,Frequency,Proportion,Entropy Term,Mutual Information
recep tayyip,3.000000,0.000801,0.005709,8.327320
recep erdogan,3.000000,0.000801,0.005709,7.634173
tayyip erdogan,3.000000,0.000801,0.005709,7.634173
taifa palestina,4.000000,0.001068,0.007304,2.660317
taifa la,3.000000,0.000801,0.005709,7.123347
la palestina,3.000000,0.000801,0.005709,2.190313
la umoja,3.000000,0.000801,0.005709,7.634173
dukungan palestina,5.000000,0.001334,0.008833,1.448376
dukungan politik,3.000000,0.000801,0.005709,4.646809
masyarakat palestina,5.000000,0.001334,0.008833,2.883460
bantuan palestina,9.000000,0.002402,0.014487,2.190313
bantuan pbb,3.000000,0.000801,0.005709,3.523299
bantuan pengungsi,3.000000,0.000801,0.005709,5.436948
jd palestina,3.000000,0.000801,0.005709,1.497166
belain palestina,3.000000,0.000801,0.005709,2.883460
org palestina,3.000000,0.000801,0.005709,1.417123
aman palestina,3.000000,0.000801,0.005709,1.784848
ajukan brics,4.000000,0.001068,0.007304,7.228708
keanggotaan penuh,3.000000,0.000801,0.005709,6.786875
keanggotaan brics,3.000000,0.000801,0.005709,7.228708
penuh palestina,4.000000,0.001068,0.007304,1.630697
penuh brics,4.000000,0.001068,0.007304,5.975945
brics palestina,3.000000,0.000801,0.005709,1.784848
brics rusia,3.000000,0.000801,0.005709,6.381410
serangan oktober,5.000000,0.001334,0.008833,6.334890
keamanan israel,6.000000,0.001601,0.010307,2.887310
allah yg,4.000000,0.001068,0.007304,3.191031
allah suriah,3.000000,0.000801,0.005709,5.657010
allah engkau,3.000000,0.000801,0.005709,6.860983
allah buka,3.000000,0.000801,0.005709,6.013685
dah palestina,3.000000,0.000801,0.005709,2.190313
sakit hati,3.000000,0.000801,0.005709,6.573301
gw palestina,3.000000,0.000801,0.005709,1.148859
pidatonya pbb,4.000000,0.001068,0.007304,4.909593
akui palestina,8.000000,0.002135,0.013129,2.565006
akui israel,4.000000,0.001068,0.007304,2.917163
lo palestina,4.000000,0.001068,0.007304,1.784848
nabi palestina,3.000000,0.000801,0.005709,1.902631
penjajah zionis,3.000000,0.000801,0.005709,4.382507
penjajah tanah,4.000000,0.001068,0.007304,4.078825
nama palestina,5.000000,0.001334,0.008833,2.007991
pertahanan palestina,3.000000,0.000801,0.005709,1.584177
pertahanan israel,3.000000,0.000801,0.005709,2.629481
membela palestina,12.000000,0.003203,0.018395,2.883460
raja palestina,3.000000,0.000801,0.005709,1.902631
udah palestina,3.000000,0.000801,0.005709,0.937550
tau palestina,5.000000,0.001334,0.008833,1.853841
solusi palestina,7.000000,0.001868,0.011737,1.428173
solusi israel,3.000000,0.000801,0.005709,1.626179
solusi negara,18.000000,0.004804,0.025645,3.897827
solusi state,3.000000,0.000801,0.005709,3.362147
solusi solution,3.000000,0.000801,0.005709,3.626839
merebut palestina,3.000000,0.000801,0.005709,2.595778
pm israel,3.000000,0.000801,0.005709,3.641082
pm netanyahu,3.000000,0.000801,0.005709,5.770954
pm benjamin,4.000000,0.001068,0.007304,7.028037
homs suriah,3.000000,0.000801,0.005709,7.123347
homs masjid,3.000000,0.000801,0.005709,7.480022
homs agung,3.000000,0.000801,0.005709,8.327320
suriah palestina,3.000000,0.000801,0.005709,1.679487
suriah allah,3.000000,0.000801,0.005709,5.657010
suriah masjid,3.000000,0.000801,0.005709,6.276049
suriah agung,3.000000,0.000801,0.005709,7.123347
suriah khalid,3.000000,0.000801,0.005709,7.123347
suriah alaqsha,3.000000,0.000801,0.005709,7.123347
suriah yaa,3.000000,0.000801,0.005709,7.123347
masjid agung,3.000000,0.000801,0.005709,7.480022
masjid khalid,3.000000,0.000801,0.005709,7.480022
masjid bin,3.000000,0.000801,0.005709,6.786875
agung khalid,3.000000,0.000801,0.005709,8.327320
agung bin,3.000000,0.000801,0.005709,7.634173
agung walid,3.000000,0.000801,0.005709,8.327320
khalid bin,3.000000,0.000801,0.005709,7.634173
khalid walid,3.000000,0.000801,0.005709,8.327320
khalid radhiyallahu,3.000000,0.000801,0.005709,8.327320
bin walid,3.000000,0.000801,0.005709,7.634173
bin radhiyallahu,3.000000,0.000801,0.005709,7.634173
bin anhu,3.000000,0.000801,0.005709,7.634173
walid radhiyallahu,3.000000,0.000801,0.005709,8.327320
walid anhu,3.000000,0.000801,0.005709,8.327320
walid persembahan,3.000000,0.000801,0.005709,8.327320
radhiyallahu anhu,3.000000,0.000801,0.005709,8.327320
radhiyallahu persembahan,3.000000,0.000801,0.005709,8.327320
radhiyallahu syair,3.000000,0.000801,0.005709,8.327320
anhu persembahan,3.000000,0.000801,0.005709,8.327320
anhu syair,3.000000,0.000801,0.005709,8.327320
anhu mujahidin,3.000000,0.000801,0.005709,7.816494
persembahan suriah,3.000000,0.000801,0.005709,7.123347
persembahan syair,3.000000,0.000801,0.005709,8.327320
persembahan mujahidin,3.000000,0.000801,0.005709,7.816494
syair suriah,3.000000,0.000801,0.005709,7.123347
syair mujahidin,3.000000,0.000801,0.005709,7.816494
syair alaqsha,3.000000,0.000801,0.005709,8.327320
mujahidin suriah,3.000000,0.000801,0.005709,6.612521
mujahidin alaqsha,3.000000,0.000801,0.005709,7.816494
mujahidin yaa,3.000000,0.000801,0.005709,7.816494
alaqsha allah,3.000000,0.000801,0.005709,6.860983
alaqsha yaa,3.000000,0.000801,0.005709,8.327320
alaqsha engkau,3.000000,0.000801,0.005709,8.327320
yaa allah,3.000000,0.000801,0.005709,6.860983
yaa engkau,3.000000,0.000801,0.005709,8.327320
yaa buka,3.000000,0.000801,0.005709,7.480022
engkau suriah,3.000000,0.000801,0.005709,7.123347
engkau buka,3.000000,0.000801,0.005709,7.480022
buka palestina,5.000000,0.001334,0.008833,2.546988
buka suriah,3.000000,0.000801,0.005709,6.276049
mengecam keras,4.000000,0.001068,0.007304,6.941025
demo palestina,3.000000,0.000801,0.005709,2.883460
membantu palestina,4.000000,0.001068,0.007304,2.477995
saudi pangeran,3.000000,0.000801,0.005709,6.941025
tp israel,3.000000,0.000801,0.005709,2.724791
kalo palestina,8.000000,0.002135,0.013129,1.595606
kalo israel,6.000000,0.001601,0.010307,2.353228
kalo ss,3.000000,0.000801,0.005709,4.854663
kalah palestina,3.000000,0.000801,0.005709,2.190313
dgn israel,3.000000,0.000801,0.005709,2.319326
dgn negara,3.000000,0.000801,0.005709,2.799214
zionist palestina,3.000000,0.000801,0.005709,2.036162
lu palestina,6.000000,0.001601,0.010307,1.148859
lu negara,4.000000,0.001068,0.007304,2.268586
lu ya,4.000000,0.001068,0.007304,3.174992
krisis kemanusiaan,3.000000,0.000801,0.005709,5.870584
menjajah palestina,4.000000,0.001068,0.007304,2.660317
bantu palestina,5.000000,0.001334,0.008833,2.095003
damai palestina,4.000000,0.001068,0.007304,1.630697
senjata palestina,3.000000,0.000801,0.005709,1.679487
gencatan senjata,3.000000,0.000801,0.005709,7.123347
kau sakit,3.000000,0.000801,0.005709,6.013685
kau kalah,3.000000,0.000801,0.005709,6.786875
argumen kau,3.000000,0.000801,0.005709,7.192340
kuat palestina,3.000000,0.000801,0.005709,2.372635
sejarah palestina,6.000000,0.001601,0.010307,1.679487
sejarah israel,3.000000,0.000801,0.005709,2.031644
sejarah yg,3.000000,0.000801,0.005709,2.472566
anggota dpr,3.000000,0.000801,0.005709,6.653343
kementerian pertahanan,3.000000,0.000801,0.005709,7.028037
bernama palestina,3.000000,0.000801,0.005709,2.883460
sekjen pbb,3.000000,0.000801,0.005709,5.315058
romawi bizantium,3.000000,0.000801,0.005709,6.835665
one palestina,3.000000,0.000801,0.005709,1.902631
one state,7.000000,0.001868,0.011737,5.531201
one solution,6.000000,0.001601,0.010307,5.641742
konsisten palestina,3.000000,0.000801,0.005709,2.372635
isu palestina,10.000000,0.002669,0.015816,2.352832
islam yahudi,4.000000,0.001068,0.007304,4.205576
angkatan bersenjata,3.000000,0.000801,0.005709,8.327320
situ palestina,3.000000,0.000801,0.005709,2.595778
keberadaan palestina,3.000000,0.000801,0.005709,2.883460
sbg merdeka,3.000000,0.000801,0.005709,5.500664
sbg negara,4.000000,0.001068,0.007304,4.408652
pergi tanah,3.000000,0.000801,0.005709,5.400580
pembagian wilayah,4.000000,0.001068,0.007304,5.960196
pembunuh palestina,3.000000,0.000801,0.005709,2.372635
penduduk palestina,6.000000,0.001601,0.010307,2.190313
bani israel,4.000000,0.001068,0.007304,3.928764
pasukan palestina,6.000000,0.001601,0.010307,2.036162
pasukan perdamaian,5.000000,0.001334,0.008833,5.911406
memperjuangkan palestina,3.000000,0.000801,0.005709,2.595778
kejahatan gaza,3.000000,0.000801,0.005709,3.931500
kejahatan perang,3.000000,0.000801,0.005709,4.787972
kejahatan kemanusiaan,3.000000,0.000801,0.005709,5.177437
pengungsi palestina,7.000000,0.001868,0.011737,2.632146
tinggal palestina,4.000000,0.001068,0.007304,1.497166
darah palestina,3.000000,0.000801,0.005709,2.883460
more here,4.000000,0.001068,0.007304,8.039638
kanaan filistin,3.000000,0.000801,0.005709,5.919374
trump israel,3.000000,0.000801,0.005709,2.388319
peran palestina,4.000000,0.001068,0.007304,2.323844
pemerintah palestina,6.000000,0.001601,0.010307,1.902631
pemerintah israel,4.000000,0.001068,0.007304,2.542470
komisi ri,3.000000,0.000801,0.005709,6.573301
komisi i,4.000000,0.001068,0.007304,7.816494
komisi dpr,4.000000,0.001068,0.007304,7.634173
i ri,3.000000,0.000801,0.005709,6.350157
i dpr,4.000000,0.001068,0.007304,7.411029
dpr ri,3.000000,0.000801,0.005709,6.167836
majelis pbb,4.000000,0.001068,0.007304,4.909593
majelis perserikatan,3.000000,0.000801,0.005709,7.346491
majelis bangsabangsa,3.000000,0.000801,0.005709,6.941025
perlawanan palestina,5.000000,0.001334,0.008833,2.295673
perlawanan hamas,3.000000,0.000801,0.005709,4.137665
menyerahkan senjata,3.000000,0.000801,0.005709,7.123347
jalur palestina,3.000000,0.000801,0.005709,2.190313
jalur gaza,5.000000,0.001334,0.008833,4.953151
menolak palestina,6.000000,0.001601,0.010307,2.190313
menolak negara,3.000000,0.000801,0.005709,3.022358
perserikatan pbb,3.000000,0.000801,0.005709,5.027376
perserikatan bangsabangsa,4.000000,0.001068,0.007304,7.634173
bangsabangsa pbb,3.000000,0.000801,0.005709,4.621911
badan pbb,5.000000,0.001334,0.008833,4.621911
badan kemanusiaan,3.000000,0.000801,0.005709,5.177437
badan bantuan,3.000000,0.000801,0.005709,5.331588
badan pengungsi,4.000000,0.001068,0.007304,6.312417
solidaritas palestina,4.000000,0.001068,0.007304,2.477995
penderitaan palestina,4.000000,0.001068,0.007304,2.477995
mahmoud abbas,9.000000,0.002402,0.014487,6.481493
permasalahan palestina,3.000000,0.000801,0.005709,2.883460
alkitab yg,4.000000,0.001068,0.007304,4.369686
gini gak,3.000000,0.000801,0.005709,4.840965
bumi palestina,4.000000,0.001068,0.007304,2.190313
bumi gak,3.000000,0.000801,0.005709,4.707433
donald trump,7.000000,0.001868,0.011737,6.786875
menghentikan genosida,3.000000,0.000801,0.005709,5.418599
batas wilayah,3.000000,0.000801,0.005709,5.449371
ngomong palestina,3.000000,0.000801,0.005709,1.584177
sinza palestina,3.000000,0.000801,0.005709,2.883460
duta palestina,4.000000,0.001068,0.007304,3.171142
resmi palestina,6.000000,0.001601,0.010307,2.477995
resmi negara,4.000000,0.001068,0.007304,3.597722
resmi mengakui,4.000000,0.001068,0.007304,4.663758
hasan nasrallah,3.000000,0.000801,0.005709,8.327320
nasrallah palestina,4.000000,0.001068,0.007304,3.171142
edward said,4.000000,0.001068,0.007304,8.039638
de facto,3.000000,0.000801,0.005709,8.039638
keras israel,4.000000,0.001068,0.007304,3.523299
keras genosida,3.000000,0.000801,0.005709,5.236277
jepang palestina,3.000000,0.000801,0.005709,2.883460
cendekiawan muslim,3.000000,0.000801,0.005709,6.573301
migrasi yahudi,3.000000,0.000801,0.005709,5.527332
